f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,Diagnosis,Segment,SourceFile
-752.92255,126.01337,-14.959814,6.083535,-6.291499,-2.0970898,-1.1586103,-2.1624622,5.315234,5.894194,8.932278,0.44528323,-5.301925,wiltur,0,XC104532.ogg
-743.6842,145.05527,-19.3205,-3.5341759,-6.119703,13.652125,10.45793,7.9171724,1.7407783,4.4896502,9.538,9.331824,8.384632,wiltur,1,XC104532.ogg
-726.20374,119.43247,-5.77027,12.604204,4.9624605,-7.1741595,-5.4493694,-1.2603977,4.446156,6.169857,5.1618648,0.30713505,-1.180436,wiltur,2,XC104532.ogg
-739.1453,140.52158,-9.275383,11.9226465,0.48962098,-3.2071075,-12.907579,1.2055929,-1.5736653,5.9487286,7.5336294,0.54902995,-2.1839328,wiltur,3,XC104532.ogg
-727.06915,122.087265,-2.454725,19.905895,-13.611739,-3.6805816,2.7251766,1.3373312,7.9808526,2.773223,6.6906576,3.5195003,-3.5177379,wiltur,4,XC104532.ogg
-737.2509,131.8277,-14.392284,-5.1198444,-8.448574,1.446649,-6.271518,2.1485431,-11.569536,-6.3555775,4.469651,-2.0169988,1.2486317,wiltur,5,XC104532.ogg
-734.27344,127.36,-9.239004,4.386784,5.373602,17.761799,-0.587065,8.163284,10.691529,-2.8274903,13.731518,3.737052,1.7603457,wiltur,6,XC104532.ogg
-715.4478,122.82776,-14.446586,1.4471598,-5.4440923,5.9790945,-0.08827397,-1.94032,7.2242107,1.9820619,0.71789956,-1.1917281,-9.570687,wiltur,7,XC104532.ogg
-519.36847,136.89655,25.147978,0.50254804,-19.039944,-23.586338,-23.67209,-16.22062,-6.957884,0.07142185,5.8541427,7.543168,7.0489836,wiltur,0,XC104533.ogg
-684.03076,176.81259,-3.3495054,20.76669,-2.0452504,3.825091,0.17082632,-1.8855253,1.342895,4.6798987,2.0443103,2.545041,8.4397545,wiltur,1,XC104533.ogg
-676.41486,123.041046,1.7363081,9.99913,3.8987937,6.066037,0.53362703,5.191145,8.509909,6.2539277,10.2162,5.648857,4.0191064,wiltur,2,XC104533.ogg
-668.87256,103.831345,-2.8081007,2.3694923,3.6711545,11.143641,6.931267,-1.1003004,-0.512602,1.2467973,8.44321,16.152891,14.4100685,wiltur,3,XC104533.ogg
-691.9264,135.7733,-11.493443,7.4711437,-7.152032,6.507654,12.983236,-1.8717105,0.54620826,3.0025024,5.5292983,10.442715,15.798915,wiltur,4,XC104533.ogg
-675.04395,120.756584,-4.4773493,3.4164486,0.19373044,-0.6077432,2.158283,14.959648,23.377449,9.806098,-3.5060349,0.010998249,2.6305218,wiltur,5,XC104533.ogg
-701.4194,146.5202,-23.581303,-3.111827,-7.671724,0.34357285,2.4359486,-0.9507231,-5.4291725,-6.2494416,9.090418,14.201101,6.9952016,wiltur,6,XC104533.ogg
-574.0307,46.924484,-32.837875,-30.633766,26.310543,-28.882935,-10.648191,-19.447775,0.5807647,-4.109027,-12.065416,5.8706226,-4.783228,calqua,0,XC109664.ogg
-588.4083,57.008583,-28.7174,-25.824566,6.450164,-33.080788,-8.818663,-11.185831,-2.6859944,-0.3270627,3.734318,-2.7840676,-9.511784,calqua,1,XC109664.ogg
-582.6026,44.45597,-37.003803,-20.01012,11.093004,-11.264743,-13.476486,-11.847992,-9.58132,0.20036039,4.4621286,0.124941625,0.31718963,calqua,2,XC109664.ogg
-558.08624,48.797554,-45.404877,-5.9989357,12.142689,-6.5014734,-20.66142,-14.079805,-3.300387,-4.996668,-4.7573624,4.862937,4.450611,calqua,3,XC109664.ogg
-558.1865,55.87908,-48.615086,-12.395136,5.8107877,-8.325323,-8.336342,-11.603633,-6.527213,-4.8962607,-17.102062,9.036243,4.5387974,calqua,4,XC109664.ogg
-556.30426,66.578964,-43.290985,-22.713469,4.3842506,-10.657454,-20.479527,3.3084352,-6.748816,0.8283088,-14.200727,1.4571443,-1.286744,calqua,5,XC109664.ogg
-535.98706,78.80629,-38.25119,-8.450493,7.708832,-3.3041124,-26.815905,7.4968166,-16.225826,-3.0028296,-12.551001,5.094036,-8.315903,calqua,6,XC109664.ogg
-532.5139,72.975815,-25.055704,-16.524542,13.210499,7.372281,-38.44521,8.788128,-13.711687,11.037982,-4.442373,1.5941473,-0.7201101,calqua,7,XC109664.ogg
-653.5863,130.97707,-8.760839,-8.738599,-8.138388,10.216732,4.058187,-1.1153557,-2.5958583,-7.6533976,-12.324474,-3.8089087,-3.7536473,calqua,0,XC109825.ogg
-664.93524,134.0519,-8.121441,-16.4273,4.6942434,6.7161407,3.680098,10.696802,0.5066312,-16.823704,-9.497416,-2.438149,-8.721212,calqua,1,XC109825.ogg
-657.4112,144.26978,-11.848888,-2.3396807,-1.765429,11.923166,11.92812,6.6478906,-5.76176,-8.299371,-8.815089,5.9128,-3.9578981,calqua,2,XC109825.ogg
-652.77704,132.20898,-17.548958,-15.921557,-2.8615627,10.634153,4.551038,1.2193024,-3.704578,-13.146891,-21.385473,-10.11561,-0.6054354,calqua,3,XC109825.ogg
-657.7021,127.10158,-5.4822545,-0.33370668,7.514409,8.566686,1.209122,-2.564703,-3.122674,-5.345132,-2.407787,-1.8873024,3.1389203,calqua,4,XC109825.ogg
-670.13306,133.53313,-7.6606894,-5.031747,-0.5466261,10.820892,8.403011,7.2431927,-0.32694954,-8.182339,-5.293049,1.7870295,-4.265371,calqua,5,XC109825.ogg
-660.6127,139.86444,-7.8749905,-2.8222477,-2.9122882,6.129008,3.8829954,8.6613865,6.139127,1.5767016,-1.5483596,6.01839,-10.726687,calqua,6,XC109825.ogg
-286.18576,98.57579,23.099047,23.032036,15.380693,12.551736,9.3163185,7.7793984,6.3394485,5.533225,4.5820665,4.103237,3.5250535,calqua,0,XC124482.ogg
-256.6786,97.01097,22.326443,22.820597,15.28541,12.305361,9.093557,7.7141623,6.146311,4.98104,3.7990646,3.3820195,2.9477935,calqua,1,XC124482.ogg
-219.21272,100.60608,24.803125,24.707794,17.465076,15.179079,12.162401,10.824306,9.439261,8.712272,7.8520765,7.2855816,6.690625,calqua,2,XC124482.ogg
-175.39647,97.96271,23.66032,24.287506,16.747036,13.979614,10.987234,9.852518,8.480119,7.553173,6.684125,6.3138704,5.811122,calqua,3,XC124482.ogg
-262.1428,99.74571,24.593662,24.828138,17.297974,14.576725,11.542374,10.354231,9.0190325,8.036949,6.945841,6.2249174,5.6660957,calqua,4,XC124482.ogg
-322.9817,102.95997,26.279833,25.230164,17.44677,14.975571,11.455057,9.647842,7.9258184,7.010777,6.2540293,5.626184,4.467183,calqua,5,XC124482.ogg
-369.33023,117.30299,40.41695,38.752586,29.303999,24.752201,19.740917,16.315035,12.950239,10.488341,8.184637,6.23368,4.364484,calqua,0,XC127191.ogg
-312.2157,107.61534,30.77893,29.458668,20.583948,16.678719,12.438847,10.07549,7.6912336,6.0448465,4.5046887,3.437636,2.4446175,calqua,1,XC127191.ogg
-370.646,111.332,35.466408,34.648544,25.800661,21.6422,17.072123,14.291832,11.348132,8.880074,6.469939,4.540426,2.7352974,calqua,2,XC127191.ogg
-304.50708,110.51269,33.072567,31.131714,21.812243,17.594284,13.0331745,10.2252445,7.3888426,5.41479,3.8860383,2.9088058,1.6741669,calqua,3,XC127191.ogg
-353.12296,108.42226,30.584896,28.740753,20.218822,16.611195,12.189415,9.516216,6.9455595,4.998742,3.1367435,1.90068,0.86522335,calqua,4,XC127191.ogg
-321.66754,114.120224,36.26632,34.124012,24.979872,20.792595,15.796276,12.502437,9.297944,6.900426,4.7577014,3.1953025,1.9044437,calqua,5,XC127191.ogg
-257.9581,99.92373,24.133965,23.734577,15.78414,12.709046,9.130451,7.301775,5.33051,4.0104275,2.8561368,2.123083,1.4049149,calqua,6,XC127191.ogg
-900.01556,126.663574,-38.09611,-21.959566,-23.492683,-13.915521,-27.030466,-11.383415,-2.032177,-7.578624,7.6122704,3.1753519,4.481477,calqua,0,XC129078.ogg
-879.795,128.31964,-25.280556,-18.131338,-25.917915,-16.394295,-28.95923,-18.473417,2.09594,1.8428332,0.60266215,5.48225,17.964588,calqua,1,XC129078.ogg
